7.3988 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [1440, 900]. Using actual size
8.2794 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fca82577580>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fca82577520>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fca825773a0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fca946c2bb0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.2796 	EXP 	window1: mouseVisible = True
8.2796 	EXP 	window1: backgroundImage = ''
8.2797 	EXP 	window1: backgroundFit = 'none'
8.2835 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.2836 	EXP 	window1: recordFrameIntervals = False
8.3700 	EXP 	window1: recordFrameIntervals = True
8.4619 	EXP 	Screen (0) actual frame rate measured at 119.20Hz
8.4620 	EXP 	window1: recordFrameIntervals = False
8.4636 	EXP 	window1: mouseVisible = False
11.6329 	EXP 	preliminary_experiment: status = STARTED
11.6337 	EXP 	window1: mouseVisible = True
